sheet_name,original_colname,cleaned_colname,inferred_meaning
患者基本信息,患者编号,患者编号,患者源编号
患者基本信息,姓名,姓名,
患者基本信息,性别,性别,性别
就诊信息,患者编号,患者编号,患者源编号
就诊信息,就诊编号,就诊编号,就诊源编号
就诊信息,健康卡号,健康卡号,
就诊信息,就诊日期,就诊日期,日期/时间
就诊信息,就诊类型,就诊类型,
就诊信息,就诊时年龄（天）,就诊时年龄_天,
就诊信息,门诊号,门诊号,
就诊信息,住院号,住院号,
就诊信息,就诊科室,就诊科室,
就诊信息,入院日期,入院日期,日期/时间
就诊信息,入院科室,入院科室,
就诊信息,出院科室,出院科室,
就诊信息,出院日期,出院日期,日期/时间
就诊信息,住院天数,住院天数,
就诊信息,年龄换算（天）,年龄换算_天,
就诊信息,就诊医生姓名（主治医生）,就诊医生姓名_主治医生,
就诊信息,住院总次数,住院总次数,
就诊信息,住院次数,住院次数,
门诊诊病历,患者编号,患者编号,患者源编号
门诊诊病历,就诊编号,就诊编号,就诊源编号
门诊诊病历,个人史,个人史,
门诊诊病历,主诉,主诉,
门诊诊病历,家族史,家族史,
门诊诊病历,既往史,既往史,
门诊诊病历,月经史,月经史,
门诊诊病历,查体,查体,
门诊诊病历,简要病史,简要病史,
门诊诊病历,诊断,诊断,诊断文本
门诊诊病历,嘱咐,嘱咐,
门诊诊病历,体重,体重,体重
门诊诊病历,体温,体温,
门诊诊病历,就诊时间,就诊时间,日期/时间
病案基本信息,患者编号,患者编号,患者源编号
病案基本信息,住院就诊编号,住院就诊编号,就诊源编号
病案基本信息,入院科室名称,入院科室名称,
病案基本信息,年龄,年龄,
病案基本信息,年龄换算（天）,年龄换算_天,
病案基本信息,姓名,姓名,
病案基本信息,入院时间,入院时间,日期/时间
病案基本信息,出院时间,出院时间,日期/时间
病案基本信息,入院诊断名称,入院诊断名称,诊断文本
病案基本信息,住院天数,住院天数,
病案基本信息,性别名称,性别名称,性别
病案基本信息,入院途径名称,入院途径名称,
病案基本信息,离院方式名称,离院方式名称,
病案基本信息,转科信息,转科信息,
病案基本信息,出院科室名称,出院科室名称,
病案基本信息,出生日期,出生日期,出生日期
病案基本信息,病案号（前面有0）,病案号_前面有0,
病案基本信息,病案号（前面无0）,病案号_前面无0,
病案基本信息,住院次数,住院次数,
病案诊断_行级,患者编号,患者编号,患者源编号
