variable,n_missing,pct_missing
study_id,0,0.0
source_patient_id_hash,0,0.0
group,0,0.0
sex,7,58.3
birth_date,10,83.3
visit_date,0,0.0
baseline_date,10,83.3
test_date,10,83.3
age_year,9,75.0
age_group,9,75.0
height,10,83.3
weight,7,58.3
BMI,10,83.3
season,10,83.3
vitd_25oh,10,83.3
vitd_original_value,10,83.3
vitd_original_unit,10,83.3
vitd_unit,10,83.3
vitd_status3,10,83.3
vitd_status4,10,83.3
severe_vitd_deficiency,10,83.3
vitd_deficiency,10,83.3
vitd_insufficiency,10,83.3
vitd_sufficient,10,83.3
calcium,11,91.7
phosphorus,11,91.7
ALP,12,100.0
PTH,12,100.0
lab_window_days,11,91.7
bmd_date,10,83.3
bmd_site,10,83.3
bmd_value,12,100.0
bmd_z,11,91.7
bmd_machine,11,91.7
bmd_window_days,10,83.3
bmd_window_flag,10,83.3
low_bmd,11,91.7
bmd_status,11,91.7
epilepsy_type,9,75.0
seizure_type,12,100.0
onset_age,12,100.0
disease_duration,12,100.0
seizure_frequency,12,100.0
ASM_name,11,91.7
ASM_number,0,0.0
monotherapy,11,91.7
enzyme_inducing_ASM,0,0.0
valproate,0,0.0
topiramate,0,0.0
ASM_duration,12,100.0
intellectual_disability,9,75.0
motor_disability,9,75.0
activity_limited,9,75.0
risk_factor_count,9,75.0
risk_level_initial,9,75.0
has_vitd,0,0.0
has_bmd_z,0,0.0
has_calcium,0,0.0
has_phosphorus,0,0.0
has_ALP,0,0.0
has_PTH,0,0.0
has_height_weight,0,0.0
is_age_eligible,9,75.0
baseline_source,0,0.0
lab_source_sheet,10,83.3
bmd_source_sheet,10,83.3
asm_source_sheet,11,91.7
notes,0,0.0
