variable,reasonable_range,n_nonmissing,n_out_of_range,out_of_range_study_ids,min_value,max_value,action
age_year,0 到 18 岁,3,0,,14.44,15.61,未发现超范围值
vitd_25oh,0 到 150 ng/mL,2,0,,21.53,21.6,未发现超范围值
height,30 到 220 cm,2,0,,126.0,158.0,未发现超范围值
weight,1 到 200 kg,5,0,,20.0,39.81,未发现超范围值
BMI,8 到 60,2,0,,12.6,15.22,未发现超范围值
bmd_z,-6 到 6,1,0,,-2.0,-2.0,未发现超范围值
calcium,仅标记极端值：0 到 5,1,0,,2.16,2.16,未发现超范围值
phosphorus,仅标记极端值：0 到 5,1,0,,1.19,1.19,未发现超范围值
ALP,仅标记极端值：0 到 5000,0,0,,,,未发现超范围值
PTH,仅标记极端值：0 到 5000,0,0,,,,未发现超范围值
